generations:200,popsPerGen:10000,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:6
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
110,0.291451,0.056600,0.102400,0.476800,0.551400,0.507700,0.629700,0.510900,0.771800,0.567700,0.682700,0.701300,0.728700,0.717400,0.872100,0.988900
120,0.294803,0.060600,0.076400,0.471800,0.554500,0.502100,0.632400,0.507900,0.778400,0.573900,0.668500,0.700600,0.723700,0.714500,0.862500,0.990100
130,0.293208,0.043400,0.090500,0.493600,0.583200,0.522100,0.599300,0.496700,0.773900,0.571400,0.684600,0.700700,0.714900,0.730400,0.853800,0.987800
140,0.295088,0.047900,0.094500,0.520300,0.600000,0.538100,0.596000,0.518400,0.750000,0.589100,0.677900,0.692200,0.718700,0.741300,0.841300,0.989700
150,0.293317,0.033400,0.104300,0.532100,0.592300,0.573400,0.645700,0.486100,0.704800,0.567400,0.670200,0.697200,0.717800,0.747800,0.845900,0.988000
160,0.291376,0.046000,0.104300,0.566200,0.580900,0.562900,0.650700,0.525100,0.695600,0.580700,0.692900,0.683500,0.706300,0.745000,0.836000,0.989000
170,0.292419,0.039900,0.112700,0.598100,0.613500,0.559500,0.645700,0.528400,0.676600,0.604900,0.677800,0.669300,0.700400,0.755600,0.836400,0.988100
180,0.297693,0.031700,0.108800,0.625900,0.647800,0.544700,0.647800,0.535700,0.723000,0.600600,0.680600,0.675400,0.723400,0.751000,0.829400,0.989400
190,0.293260,0.032200,0.091000,0.632000,0.671200,0.542500,0.624800,0.538900,0.701100,0.601300,0.685900,0.648000,0.716200,0.761900,0.835600,0.988300
Comparison: Pure SHC,0.200006

5
0,0.195560,0.501300,0.498300,0.501000,0.493200,0.499300,0.496100,0.500300,0.498300,0.499400,0.501500,0.494500,0.508900,0.500800,0.496600,0.487100
10,0.423539,0.488200,0.335000,0.408200,0.383600,0.424700,0.449500,0.513700,0.510400,0.542800,0.625300,0.603900,0.693700,0.737000,0.822300,0.989000
